time,grid_size,block_size,threads_used,solutions,max_depth
15.9,16,4,12,80,3
0.00600004,9,3,14,1,3
17.32,16,4,14,80,3
0.00900006,9,3,16,1,3
7.722,16,4,16,80,3
0.0120001,9,3,18,1,3
10.176,16,4,18,80,3
0.00999999,9,3,20,1,3
10.37,16,4,20,80,3
0.0079999,9,3,22,1,3
9.081,16,4,22,80,3
0.00699997,9,3,24,1,3
11.145,16,4,24,80,3
0.00800014,9,3,26,1,3
16.236,16,4,26,80,3
0.0119998,9,3,28,1,3
9.43,16,4,28,80,3
0.013,9,3,30,1,3
8.066,16,4,30,80,3
0.013,9,3,32,1,3
12.743,16,4,32,80,3
0.013,9,3,34,1,3
12.582,16,4,34,80,3
0.013,9,3,36,1,3
9.42,16,4,36,80,3
0.013,9,3,38,1,3
7.455,16,4,38,80,3
0.013,9,3,40,1,3
11.685,16,4,40,80,3
0.0150001,9,3,42,1,3
16.812,16,4,42,80,3
0.0120001,9,3,44,1,3
11.339,16,4,44,80,3
0.013,9,3,46,1,3
9.73,16,4,46,80,3
0.00999999,9,3,48,1,3
11.657,16,4,48,80,3
0.00500011,9,3,1,1,3
20.544,16,4,1,80,3
0.00999999,9,3,2,1,3
34.217,16,4,2,80,3
0.00899982,9,3,4,1,3
22.072,16,4,4,80,3
0.00999999,9,3,6,1,3
26.895,16,4,6,80,3
0.00999999,9,3,8,1,3
30.773,16,4,8,80,3
0.00600004,9,3,1,1,5
22.536,16,4,1,80,5
0.00999999,9,3,2,1,5
27.896,16,4,2,80,5
0.00999999,9,3,4,1,5
29.642,16,4,4,80,5
0.00800014,9,3,6,1,5
30.114,16,4,6,80,5
0.013,9,3,8,1,5
27.022,16,4,8,80,5
0.00700021,9,3,1,1,7
22.045,16,4,1,80,7
0.0079999,9,3,2,1,7
27.608,16,4,2,80,7
0.00699997,9,3,4,1,7
25.666,16,4,4,80,7
0.0109999,9,3,6,1,7
22.593,16,4,6,80,7
0.0110002,9,3,8,1,7
24.685,16,4,8,80,7
0.0079999,9,3,1,1,9
20.745,16,4,1,80,9
0.00900006,9,3,2,1,9
29.735,16,4,2,80,9
0.00600004,9,3,4,1,9
19.997,16,4,4,80,9
0.00999999,9,3,6,1,9
26.288,16,4,6,80,9
0.0139999,9,3,8,1,9
20.933,16,4,8,80,9
0.00600004,9,3,1,1,3
20.243,16,4,1,80,3
0.00600004,9,3,2,1,3
28.035,16,4,2,80,3
0.00999999,9,3,4,1,3
25.43,16,4,4,80,3
0.00800014,9,3,6,1,3
22.742,16,4,6,80,3
0.0119998,9,3,8,1,3
24.208,16,4,8,80,3
0.00600004,9,3,1,1,5
21.248,16,4,1,80,5
0.00900006,9,3,2,1,5
27.709,16,4,2,80,5
0.00999999,9,3,4,1,5
24.694,16,4,4,80,5
0.0119998,9,3,6,1,5
25.191,16,4,6,80,5
0.016,9,3,8,1,5
24.546,16,4,8,80,5
0.00600004,9,3,1,1,7
21.359,16,4,1,80,7
0.00699997,9,3,2,1,7
27.619,16,4,2,80,7
0.00800014,9,3,4,1,7
27.105,16,4,4,80,7
0.0100002,9,3,6,1,7
23.456,16,4,6,80,7
0.0079999,9,3,8,1,7
26.22,16,4,8,80,7
0.00500011,9,3,1,1,9
21.053,16,4,1,80,9
0.00900006,9,3,2,1,9
30.656,16,4,2,80,9
0.00900006,9,3,4,1,9
11.503,16,4,4,80,9
0.00999999,9,3,6,1,9
22.058,16,4,6,80,9
0.00999999,9,3,8,1,9
26.32,16,4,8,80,9
0.00600004,9,3,1,1,3
21.143,16,4,1,80,3
0.013,9,3,2,1,3
30.391,16,4,2,80,3
0.0109999,9,3,4,1,3
26.577,16,4,4,80,3
0.00999999,9,3,6,1,3
21.52,16,4,6,80,3
0.0079999,9,3,8,1,3
23.742,16,4,8,80,3
0.00699997,9,3,1,1,5
20.412,16,4,1,80,5
0.00900006,9,3,2,1,5
29.979,16,4,2,80,5
0.0120001,9,3,4,1,5
27.692,16,4,4,80,5
0.00899982,9,3,6,1,5
22.558,16,4,6,80,5
0.0110002,9,3,8,1,5
24.66,16,4,8,80,5
0.00600004,9,3,1,1,7
20.812,16,4,1,80,7
0.00999999,9,3,2,1,7
29.721,16,4,2,80,7
0.00800014,9,3,4,1,7
19.997,16,4,4,80,7
0.0119998,9,3,6,1,7
24.03,16,4,6,80,7
0.0120001,9,3,8,1,7
24.228,16,4,8,80,7
0.0059998,9,3,1,1,9
20.633,16,4,1,80,9
0.00600004,9,3,2,1,9
28.827,16,4,2,80,9
0.00699997,9,3,4,1,9
23.722,16,4,4,80,9
0.00900006,9,3,6,1,9
21.369,16,4,6,80,9
0.00900006,9,3,8,1,9
24.331,16,4,8,80,9
16.615,16,4,4,80,11
25.638,16,4,4,80,13
24.421,16,4,4,80,15
27.43,16,4,4,80,17
20.391,16,4,4,80,11
21.131,16,4,4,80,13
18.322,16,4,4,80,15
7.737,16,4,4,80,17
20.389,16,4,4,80,11
24.853,16,4,4,80,13
28.362,16,4,4,80,15
20.646,16,4,4,80,17
